epoch,step,val_acc,val_loss
0,1718,0.8884000182151794,0.3863677680492401
1,3437,0.9100000262260437,0.31390413641929626
2,5156,0.9205999970436096,0.2742879092693329
3,6875,0.9240000247955322,0.24660517275333405
4,8594,0.930400013923645,0.22449560463428497
