epoch,step,test_acc,test_loss,val_acc,val_loss
0,1718,,,0.885200023651123,0.3992004692554474
1,3437,,,0.9034000039100647,0.32156115770339966
2,5156,,,0.9142000079154968,0.28030502796173096
3,6875,,,0.9246000051498413,0.2496563047170639
4,8594,,,0.9337999820709229,0.2238326221704483
5,8595,0.9394000172615051,0.20760071277618408,,
