epoch,step,test_acc,test_loss,val_acc,val_loss
0,177,,,1.0,0.33571857213974
1,355,,,0.0,0.8713321089744568
2,533,,,0.0,0.9731449484825134
3,711,,,0.0,0.992668628692627
4,889,,,0.0,0.9965063333511353
5,890,0.0,0.9964700937271118,,
