epoch,step,test_acc,test_loss,val_acc,val_loss
0,1718,,,0.8871999979019165,0.41210633516311646
1,3437,,,0.9107999801635742,0.32538124918937683
2,5156,,,0.9204000234603882,0.2831228971481323
3,6875,,,0.930400013923645,0.2518731653690338
4,8594,,,0.9355999827384949,0.22932234406471252
5,8595,0.9408000111579895,0.20143523812294006,,
