epoch,step,test_acc,test_loss,val_acc,val_loss
0,177,,,0.0,1.1874501705169678
1,355,,,0.0,1.5478975772857666
2,533,,,0.0446428582072258,1.4818165302276611
3,711,,,0.0803571417927742,1.1741846799850464
4,889,,,0.0446428582072258,1.6031920909881592
5,890,0.07207207381725311,1.6515332460403442,,
